Company Name, Email, Telephone, Fax, Website
ANTON PAAR LTD, info.gb@anton-paar.com, +44 (0)1992 514 730, NaN, http://www.anton-paar.com
AQUABIO LIMITED, info@aquabio.co.uk, +44 (0)1905 641 966, NaN, https://www.aquabio.co.uk/
ATLANTIC  LTD, info@atlantic.org.uk, +44 (0)1255 224640, +44 (0)871 230 7699, http://www.atlantic.org.uk
AVANI SOLUTIONS LTD, info@avanisolutions.co.uk, +44 (0)1638 563 237, NaN, https://www.avanisolutions.co.uk/
B&B ATTACHMENTS, vcv@bandbattachments.com, +44 (0)1670 737373, +44 (0)1670 736286, http://www.bandbattachments.com
BAIRDS MALT LIMITED, roger.woodley@bairds-malt.co.uk, +44 (0)1376 513 566, NaN, http://www.bairds-malt.co.uk
BARTH-HAAS UK LTD, sales@barthhaas.co.uk, +44 (0)1892 833 415, NaN, https://www.barthhaasgroup.com/en/
BEER PIPER COMPANY THE, sales@beerpiper.co.uk, +44 (0)300 303 2709, NaN, http://www.beerpiper.co.uk
BELLINGHAM + STANLEY A XYLEM BRAND, sales.bs.uk@xyleminc.com, +44 (0)1892 500400, +44 (0)1892 543115, http://www.bellinghamandstanley.com
BEVEX, sales@bevex.co.uk, +44 (0)1530 834 888, +44 (0)1530 834 500, http://www.bevex.co.uk
BEVISOL LTD, sales@bevex.co.uk, +44 (0)1530 834 888, +44 (0)1530 834 500, http://www.bevex.co.uk
BIOCEL LIMITED, sales@bevex.co.uk, +44 (0)1530 834 888, +44 (0)1530 834 500, http://www.bevex.co.uk
BOC SURESERVE, sureserve@boc.com, +44 (0)8457 302302, NaN, http://www.boconline.com
BOOTH DISPENSERS T/A BRANDELS, sales@brandels.co.uk, +44 (0)1253 501 800, NaN, http://www.brandels.co.uk
BOX STEAM BREWERY LTD, info@boxsteambrewery.com, +44 (0)1225 782700, NaN, https://boxsteambrewery.com/
BREWERS SELECT LTD, sales@brewersselect.co.uk, +44 (0)1733 889 100, NaN, https://www.brewersselect.co.uk/
BREWERY PLASTICS LTD, info@breweryplastics.com, +44 (0)1432 343 340, NaN, http://www.breweryplastics.com
BREWFITT, sales@brewfitt.com, +44 (0)1484 340 800, +44 (0)1484 340 900, http://www.brewfitt.com
BREWLAB, info@brewlab.co.uk, +44 (0)191 549 9450, +44 (0)191 549 4048, http://www.brewlab.co.uk
BREWTECH LIMITED, info@brewlab.co.uk, +44 (0)191 549 9450, +44 (0)191 549 4048, http://www.brewlab.co.uk
BRIGGS OF BURTON PLC, sales@briggsplc.co.uk, +44 (0)1283 566 661, NaN, http://www.briggsplc.co.uk
BRITISH BEER & PUB ASSOCIATION (BBPA), contact@beerandpub.com, +44 (0)20 7627 9191, +44 (0)20 7627 9123, https://beerandpub.com/
BRITISH GLASS MANUFACTURERS’ CONFEDERATION, t.green@britglass.co.uk, +44 (0)1142 901850, NaN, http://www.britglass.co.uk
British Hop Association, alicapper@mac.com, +44 (0)1886 884 202, +44 (0)1886 884 110, https://www.britishhops.org.uk/
BRUNI ERBEN, michal.szczygiel@brunierben.co.uk, +44 (0)1473 823 011, +44 (0)1473 824 381, www.brunierben.co.uk
BRUNSWICK INSTALLATIONS LTD, michal.szczygiel@brunierben.co.uk, +44 (0)1473 823 011, +44 (0)1473 824 381, www.brunierben.co.uk
BSL GAS TECHNOLOGIES LTD, solutions@bslgastech.com, +44 (0)1634 661 100, +44 (0)1634 671 111, http://www.bslgastech.com
BTI ENGINEERING SUPPLIES LTD, brian@btiengineering.com, + 353 1 401 0138, NaN, http://www.btiengineering.com/
BULK STORAGE & PROCESS SYSTEMS LTD, info@bulksystems.co.uk, +44 (0)1483 202 211, NaN, http://www.bulksystems.co.uk
CAMGRAIN, info@camgrain.co.uk, +44 (0)1638 572 800, NaN, https://www.camgrain.co.uk/
CAMPDEN BRI, javier.gomez@campdenbri.co.uk, +44 (0)1737 833 272, +44 (0)1737 822 747, http://www.campdenbri.co.uk
CARA TECHNOLOGY LIMITED, javier.gomez@campdenbri.co.uk, +44 (0)1737 833 272, +44 (0)1737 822 747, http://www.campdenbri.co.uk
CARBONATION TECHNIQUES LTD, info@carbotech.co.uk, +44 (0)1952 583 901, NaN, http://www.carbotech.co.uk
CARLING PARTNERSHIP LIMITED THE, enquiries@carlingpartnership.co.uk, +44 (0)1483 893100, +44 (0)1483 894500, http://www.carlingpartnership.com
CARLSON FILTRATION LTD, sales@carlson.co.uk, +44 (0)1282 811 000, NaN, http://www.carlson.co.uk
CASK MARQUE, info@cask-marque.co.uk, +44 (0)1206 752 212, NaN, http://www.cask-marque.co.uk
CENTRIFLOW SERVICES LTD, info@beerengines.co, +44 (0)7860 538 265, +44 (0)7860 538 265, http://www.beerengines.co
CHAPMAN A E & SON LTD, aecsonltd@aol.com, +44 (0)207 622 4414, +44 (0)207 720 0189, http://www.aechapman.co.uk
CHARLES FARAM & CO LTD, paulcorbett@charlesfaram.co.uk, +44 (0)1905 830 734, NaN, http://www.wellhopped.com
CHEERS BEVERAGE GAS LTD, sales@cheersbeveragegas.co.uk, +44 (0)1902 306 068, NaN, http://www.cheersbeveragegas.co.uk/
CHEMISPHERE UK LTD, contactus@chemisphereuk.com, +44 (0)800 0188062, +44 (0)161 874 7201, http://www.chemisphereuk.com
CHRISTEYNS FOOD HYGIENE LTD, chris.bayliss@christeyns.com, +44 (0)1925 234 696, +44 (0)1925 234 693, https://www.christeynsfoodhygiene.co.uk/#
CHUDLEIGH SUTCH UK LTD, ben@chudleighsutch.co.uk, +44 (0)7575 885 585, NaN, www.chudleighsutch.com
CITY DISPENSE, andy.fletcher@citydispense.co.uk, +44 (0)1942 311 120, NaN, https://citydispense.co.uk/
CLEAR BREW LTD, enquiries@clearbrew.co.uk, +44 (0)800 781 057, NaN, www.clearbrew.co.uk
CLOSE BROTHERS BREWERY RENTALS LTD, enquiries@closebreweryrentals.co.uk, +44 (0)1425 485 421, NaN, http://www.closebreweryrentals.co.uk
CML LIMITED inc OFF ZERO LTD, enquiries@closebreweryrentals.co.uk, +44 (0)1425 485 421, NaN, http://www.closebreweryrentals.co.uk
COFCO INTERNATIONAL UK LTD, NaN, +44 (0)1473 275 020, NaN, mailto:swallace@nidera-uk.com
CONCEPT STAINLESS LIMITED, sales@concept-stainless.co.uk, +44 (0)121 521 5850, +44 (0)121 521 5851, http://www.concept-stainless.co.uk
CORE EQUIPMENT LTD, info@core-equip.com, +44 (0) 1327 342 589, NaN, http://www.core-equip.com/
CORNELIUS BEVERAGE TECHNOLOGIES LTD, customerservice@corneliusuk.com, +44 (0)1484 714 584, NaN, http://www.corneliusbeer.com
CORNWALLIS LTD, sales@santgroup.com, +44 (0)121 557 1450, NaN, http://www.santgroup.com
COTTINGHAM TECHNICAL SERVICES LTD, sales@ctsprocess.co.uk, +44 (0)1482 847 697, NaN, http://www.ctsprocess.co.uk/
CRESSY’S GRAINS LTD, cressys@brewersgrains.com, +44 (0)1625 583 599, +44 (0)1625 585 733, http://www.cressys.co.uk/
CRISP MALT, info@crispmalt.com, +44 (0)1328 829 391, NaN, http://www.crispmalt.com
CROWCON DETECTION INSTRUMENTS, marketing@crowcon.com, +44 (0)1235 557 700, NaN, https://www.crowcon.com/
DAIRY PIPE LINES LTD, l.lwarence@dpluk.co.uk, +44 (0)1799 582 440, +44 (0)1799 525 916, http://www.dpluk.co.uk
DARLEY LIMITED, johnalton@darleylimited.co.uk, +44 (0)1283 564 936, NaN, http://www.darleylimited.co.uk
DAVID W GRANT – CATERPEL LIMITED, johnalton@darleylimited.co.uk, +44 (0)1283 564 936, NaN, http://www.darleylimited.co.uk
DDW THE COLOUR HOUSE, mark.embery@ddwcolour.com, +44 (0)161 886 3345, +44 (0)161 886 3346, http://www.ddwcolour.com
DENGIE CROPS LTD, mbutton@dengiefeeds.co.uk, +44 (0)1621 773 883, +44 (0)1621 774 938, www.dengiegrain.co.uk
DEWING GRAIN LTD, mbutton@dengiefeeds.co.uk, +44 (0)1621 773 883, +44 (0)1621 774 938, www.dengiegrain.co.uk
DICHTOMATIK LIMITED, mbutton@dengiefeeds.co.uk, +44 (0)1621 773 883, +44 (0)1621 774 938, www.dengiegrain.co.uk
DISPENSE SOLUTIONS LIMITED t/a ALLCHILLED, tim@allchilled.com, +44 (0)1622 873 163, NaN, http://www.allchilled.com
DISPENSE SYSTEMS INTERNATIONAL UK, j.samyn@aalbertsdispense.com, +49 1522 1763 717, NaN, http://www.dispensegroup.com
DIVERSEY LTD, foodbev@diversey.com, +44 (0)1604 783 505, NaN, http://www.diversey.com
DOLIUM-ONE-WAY PET KEGS, info@dolium.eu, +32 (0)479 98 77 56, NaN, http://www.dolium.eu/
DON VALLEY ENGINEERING CO LTD, roybaker@donvalleyeng.com, +44 (0)1302 881 188, NaN, http://www.donvalleyeng.com
DONALDSON FILTRATION (GB) LIMITED, CAP-uk@donaldson.com, 1162696161, 1162693028, www.donaldson.com
DRINKTEC, info@pattern.co.uk, +44 (0)20 3375 8230, NaN, https://www.pattern.co.uk/
DURR TECHNIK (UK) LTD, office@durrtechnik.co.uk, +44 (0)1761 422 944, +44 (0)1761 420 895, http://www.durrtechnik.co.uk
DUYNIE LTD, info@duynie.co.uk, +44 (0)1977 516 540, NaN, https://www.duynie.co.uk/
E-CHILL LIMITED, johnc@e-chill.cool, +44 (0)7939 649 585, NaN, https://www.e-chill.cool/
ECODRAFT – CARDIFF GROUP NV, info@ecodraft.com, + 32 (0)89 35 23 49, NaN, https://www.ecodraft.com/
ECOLAB LIMITED, paul.brougham@ecolab.com, +44 (0)1606 744 88, +44 (0)1606 744 88, https://en-uk.ecolab.com/
EDWIN HOLDEN’S BOTTLING COMPANY LTD, enquiries@holdensbottling.co.uk, +44 (0)1902 880 051, NaN, www.holdensbottling.co.uk
ELETTRIC 80 LIMITED, e80.uk@elettric80.it, +44 (0)1992 240 080, +44 (0)1992 240 047, http://www.elettric80.it
EMMERALD POLYMERS (UK) LTD, info@emmeraldpolymers.com, +44 (0)7970 202 071, NaN, http://www.emmeraldpolymers.com
ENCIRC LTD, info@encirc360.com, +44 (0)1928 725 300, NaN, http://www.encirc360.com/
ENGLAND WORTHSIDE LTD, sales@worthside.co.uk, +44 (0)1535 682 222, NaN, http://www.ewlonline.co.uk
ENGLISH HOPS LTD, nicole.lonergan@englishhops.co.uk, +44 (0)1892 830 011, NaN, http://englishhops.co.uk/
ENTERPRISE TONDELLI, info@enterprisetondelli.co.uk, +44 (0)1525 718 406, +44 (0)1525 718 580, https://www.enterprisetondelli.co.uk/
ENVIREAU WATER, phil@envireauwater.co.uk, +44 (0)1332 871 882, NaN, http://www.envireauwater.co.uk
ENVIROGEN GROUP (formerly Puresep Technologies), enquiries@envirogengroup.com, +44 (0)1773 441 029, NaN, http://www.envirogengroup.com
ERIC CANDY, enquiries@inovate.co.uk, +44 (0)1123 420 252, NaN, www.inovate.co.uk
eSIGHT ENERGY LTD, marketing@esightenergy.com, +44 (0)1954 233 208, +44 (0)1954 230 384, www.esightenergy.com
EUROPEAN MALT CO LTD, info@european.com, +44 (0)14444 451 834, NaN, https://www.europeanmalt.com/
FACHVERLAG HANS CARL GMBH, info@hanscarl.com, +49 (0) 911 95285-0, +49 (0) 911 95285-8140, http://www.hanscarl.com/www.brauwelt.de/www.brauweltinternational.com
FERMENTIS, fermentis@lesaffre.com, +33 (0)6 49 55 63 45, NaN, https://fermentis.com/en/
FILEDER FILTER SYSTEMS LTD, food&beverage@fileder.co.uk, +44 (0)1622 684 940, +44 (0)1622 621 932, http://www.fileder.co.uk
FIRST KEY CONSULTING, simon.jackson@firstkey.com, +44 (0)7831 313 154, NaN, https://www.firstkey.com/
FIRSTFLOW TECHNICAL SERVICES LTD, info@firstflow.co.uk, +44 (0)1355 266 007, NaN, http://www.firstflow.co.uk/
FLAVORACTIV, enquiries@flavoractiv.com, +44 (0)1844 396 113, NaN, http://www.flavoractiv.com
FLEXRITE CHEMGIENE, fionas@flexrite.co.uk, +44 (0)1933 673 699, +44 (0)1933 675 819, http://www.flexrite.co.uk
FLOJET, NaN, +44 (0)1992 450 145, NaN, http://www.xylem.com/Flojet
FORFARMERS, info.totalfeed@forfarmers.eu, +44 (0)870 0500 306, +44 (0)870 0500 307, http://www.forfarmers.co.uk
FREERBUTLER LIMITED, cf@freerbutler-gds.co.uk, +44 (0)115 854 9349, NaN, http://freerbutler-gds.co.uk/
FRENCH AND JUPP’S LTD, info@frenchandjupps.co.uk, +44 (0)1920 870 015, NaN, http://www.frenchandjupps.co.uk
FRONTIER AGRICULTURE LTD, westly.garner@frontierag.co.uk, +44 (0)1767 688 240, NaN, http://www.frontierag.co.uk
GASCON GAS CONSULTANTS, simon@gas-con.co.uk, +44 (0)1934 516880, NaN, http://gasconsultant.co.uk/
GEA UK, matthew.hadwen@gea.com, +44 (0)1925 812 650, +44 (0)1925 817 797, http://www.gea.com
GLOBAL BEVERAGE DISPENSE & COOLING CONSULTANTS, mick.mickpainltd@outlook.com, +44 (0)1246 411828, +44 (0)1246 411828, http://
GRAPHIC PACKAGING INTERNATIONAL LTD, glyn.champion@graphicpkg.com, +44 (0)7767 621 056, NaN, http://www.graphicpkg.com
GRUNDFOS PUMPS LTD, grundfos-uk@sales.grundfos.com, +44 (0)1525 850 000, NaN, https://uk.grundfos.com/
H. BANHAM LTD, tom@h-banham.co.uk, +44 (0)1328 863741, +44 (0)1328 855731, www.h-banham.co.uk
HACH, info-uk@hach.co.uk, +44 (0)161 872 1487, +44 (0)161 848 7324, https://uk.hach.com
HALLAMSHIRE BREWERY SERVICES LTD, sales@hallamshire.co.uk, +44 (0)114 243 1721, NaN, http://www.hallamshire.co.uk/
HANOVIA LTD, sales@hanovia.co.uk, +44 (0)1753 515 300, NaN, http://www.hanovia.com
HARRY MASON LTD, nh@harrymason.co.uk, +44 (0)121 328 5900, +44 (0)121 327 7257, http://www.harrymason.co.uk
HI-LINE SERVICES (LICHFIELD) LTD, NaN, +44 (0)1543 258 741, NaN, mailto:info@hilineservices.co.uk
HOBSON BREWERY, beer@hobsons-brewery.co.uk, +44 (0)1299 270 837, NaN, http://www.hobsons-brewery.co.uk/
HOLCHEM LABORATORIES LTD, beer@hobsons-brewery.co.uk, +44 (0)1299 270 837, NaN, http://www.hobsons-brewery.co.uk/
HPE PROCESS LTD, sales@hpeprocess.com, +44 (0)113 252 6712, NaN, http://www.hpeprocess.com
HRS HEAT EXCHANGERS LTD, info@hrs-he.com, +44 (0)1923 232 335, NaN, http://www.hrs-heatexchangers.com
HUBBARD PRODUCTS LTD, commercial@hubbardproducts.com, +44 (0) 1473 890 522, NaN, https://www.hubbard.co.uk/
HUMBER DOUCY BREWING COMPANY LIMITED, commercial@hubbardproducts.com, +44 (0) 1473 890 522, NaN, https://www.hubbard.co.uk/
HYDRATECH, sales@hydratech.co.uk, +44 (0) 1792 586 800, +44 (0) 1792 561 606, https://www.hydratech.co.uk
HYGIENIC EQUIPMENT LTD, sales@hygienicequipment.net, +44 (0)161 962 9534, +44 (0)161 962 9716, http://www.hygienicequipment.net
IC FILLING SYSTEMS, sales@icfsgroup.com, +44 (0)1865 520 083, NaN, http://www.icfillingsystems.com
IGC ENGINEERING LIMITED, vesselsuk@gmail.com, +44 (0)7931 765 454, +44 (0)1257 794 170, https://igc-pressure-vessels.co.uk
INDUSTRIAL TRADING SOLUTIONS, sales@industrialtradingsolutions.com, +44 (0)1675 465 191, +44 (0)1675 464 429, http://www.industrialtradingsolutions.com
INNSERVE LIMITED, info@innserveltd.co.uk, +44 (0)1937 535 000, NaN, http://www.innserveltd.co.uk
INOVATE, enquiries@inovate.co.uk, +44 (0)1123 420 252, NaN, www.inovate.co.uk
INSTITUTE OF BREWING & DISTILLING (IBD), info@ibd.org.uk, +44 (0)20 7499 8144, NaN, http://www.igb.org.uk
INTASPEC HOLDINGS LIMITED, intaspecltd@btconnect.com, +44 (0)1636 707 622, NaN, http://www.intaspectrainingschool.co.uk
INTEGRATED CONTROL SOLUTIONS LTD, sales@integratedcontrols.co.uk, +44 (0)1942 674 400, NaN, http://www.integratedcontrols.co.uk
INTEGRATED PROCESSING TECHNOLOGIES LTD, info@integprotec.com, +44 (0)191 584 6506, NaN, http://www.integprotec.com/
ITS EUROPE LTD, lturville@sensafe.com, +44(0) 1722 717 911, NaN, http://itseurope.co.uk/
J & E HALL LIMITED, helpline@jehall.co.uk, +44 (0)1322 394 420, +44 (0)1322 394 421, http://www.jehall.co.uk
J GAS SUPPLIES, enquiries@jgassupplies.co.uk, +44 (0)1872 571 122, NaN, http://jgassupplies.co.uk
JAYNE SWANN, info@european.com, +44 (0)14444 451 834, NaN, https://www.europeanmalt.com/
Jeremy Taylor, jeremy.taylor@senova.uk.com, +44 (0)1223 890777, +44 (0)1223 890666, http://www.senova.uk.com/
JOHN BROWNS PRINTERS LTD, dgray@johnbrowns.com, +44 (0)115 928 0991, +44 (0)115 928 1023, http://www.johnbrowns.com/
JOHN GUEST – AN RWC BRAND, info@johnguest.com, +44 (0)1895 449 233, +44 (0)1895 422 086, www.jgpolarclean.com
K-COOLERS, sales@kcoolers.co.uk, +44 (0)1772 702 487, +44 (0)1772 709 019, http://www.kcoolers.co.uk
K-FLEX – INCORPORATING BEVEX LTD, sales@bevex.co.uk, +44 (0)1530 834 888, +44 (0)1530 834 500, https://www.bevex.co.uk/
KATZ UK (QUARMBY PROMOTIONS LTD), bernard.maples@thekatzgroup.com, +44 (0)7889 904 186, NaN, http://www.thekatzgroup.com
KEG LOGISTICS, csapyta@keglogistics.com/shorrox@keglogistics.com, + 1 303 720 7655, NaN, www.keglogistics.com
KEGSTAR LTD, rent@kegstar.com, +44 (0)800 534 5000, NaN, www.kegstar.com
KEMTILE LTD, richard.kay@kemtile.co.uk, +44 (0)1925 763 045, NaN, https://www.kemtile.co.uk/
KERRY TASTE & NUTRITION, grant.mackenzie@kerry.com / eoin.lalor@kerry.com, +44 (0)7966 113 018, NaN, http://www.kerry.com
KHS UK LTD, info@khs.com, +44 (0)121 713 6900, +44 (0)121 713 6935, http://www.khs.com
KIESELMANN UK OFFICE, colin.jeffrey@kieselmann.de, +44(0)1925 604 646, NaN, http://www.kieselmann.com
KILFROST LTD, colin.jeffrey@kieselmann.de, +44(0)1925 604 646, NaN, http://www.kieselmann.com
KRONES UK LTD, sales@krones.co.uk, +44 (0)1942 845 000, NaN, http://www.krones.com
KWS UK LTD, will.compson@kws.com, +44 (0)1763 207 300, +44 (0)1763 207 310, www.kws-uk.com
L H STAINLESS LTD, sales@l-h-s.co.uk, +44 (0)1466 792 222, +44 (0)1466 795 329, http://www.l-h-s.co.uk
LABEL APEEL LTD, info@labelapeel.co.uk, +44 (0)116 231 4555, NaN, http://www.labelapeel.co.uk
LEGACY US LLC / GOVREG, info@labelapeel.co.uk, +44 (0)116 231 4555, NaN, http://www.labelapeel.co.uk
LEMONTOP LTD, hello@lemontopcreative.com, +44 (0)1325 311 177, NaN, https://www.lemontopcreative.com
LIGHTWEIGHT CONTAINERS BV / KEYKEG UNIKEG, info@keykeg.com, +31 223 670670, +31 223 673999, www.keykeg.com
LIMAGRAIN UK LTD, NaN, +44 (0)1472 371 471, NaN, mailto:matt.shand@limagrain.co.uk
LINEVIEW SOLUTIONS LTD, enquiries@lineview.com, +44 (0)1564 793 039, NaN, http://www.lineview.com
LogiCO2 INTERNATIONAL AB, info@logico2.com, +46 (0)31 695 317, +46 (0)31 293 291, https://www.logico2.com/
LORIEN ENGINEERING SOLUTIONS, lorienengineeringsales@gpstrategies.com, +44 (0)1283 485 100, +44 (0)1283 485 101, http://www.lorienengineering.com
LUBRON WATER TECHNOLOGIES LIMITED, steven.shave@lubron.co.uk, +44 (0)1206 866 444, NaN, www.lubron.co.uk
LUPOFRESH LTD, steven.shave@lubron.co.uk, +44 (0)1206 866 444, NaN, www.lubron.co.uk
M F REFRIGERATION LTD, enquiries@mf-refrigeration.co.uk, +44 (0)1732 463 000, +44 (0)1732 459 846, http://www.mf-refrigeration.co.uk
Magic Rock Brewing Co, christa@magicrockbrewing.com, +44 (0)1484 649 823, NaN, https://www.magicrockbrewing.com/
MALT DISTILLERS ASSOCIATION OF SCOTLAND, NaN, +44 (0)1343 544 077, NaN, mailto:mdas@grigor-young.co.uk
MAPEX INSPECTION, enquiries@mapexinspection.co.uk, +44 (0)1684 560 099, NaN, https://www.mapexinspection.co.uk/
MARCH MAY LIMITED, sales@marchmay.co.uk, +44 (0)1480 214 444, +44 (0)1480 405 336, https://marchmay.co.uk/
MARILYN SEEDHOUSE – MPS MICROBIOLOGICAL LIMITED, sales@marchmay.co.uk, +44 (0)1480 214 444, +44 (0)1480 405 336, https://marchmay.co.uk/
MARK BUTTON, mbutton@dengiefeeds.co.uk, +44 (0)1621 773 883, +44 (0)1621 774 938, www.dengiegrain.co.uk
MATT SHAND, NaN, +44 (0)1472 371 471, NaN, mailto:matt.shand@limagrain.co.uk
Matthew Jewers, NaN, +44 (0)1472 371 471, NaN, mailto:matt.shand@limagrain.co.uk
MAXI-MIX DISPENSE SYSTEMS LIMITED, maximixuk@gmail.com, +44 (0)1458 211 105, NaN, http://www.maxi-mix.com
Michael Williams, sales@inncellar.co.uk, +44 (0)114 272 7426, NaN, https://www.inncellar.co.uk/
MICRO MATIC, pacas@micro-matic.co.uk, +44 (0)1254 669 700, NaN, http://www.micro-matic.co.uk
MITIE DRINKS DISPENSE, ian.dorans@mitie.com, +44 (0)7786 526344, NaN, www.mitie.com
MITSUBISHI ELECTRIC EUROPE B.V, automation@meuk.mee.com, +44 (0)1707 276 100, NaN, https://www.mitsubishielectric.com/en/index.html
MONDO BREWING COMPANY, hello@mondobeer.com, +44 (0)20 7720 0782, NaN, https://www.mondobeer.com/
MOODY DIRECT LTD, info@moodydirect.com, +44 (0)1777 701 141, NaN, http://www.moodydirect.com
MOORHOUSE’S BREWERY LTD, info@moorhouses.co.uk, +44 (0)1282 422 864, NaN, http://www.moorhouses.co.uk
MORAVEK INTERNATIONAL LTD, info@moravek.co.uk, +44 (0)1427 890098, +44 (0)1427 890939, http://www.moravek.co.uk
MORRIS HANBURY LIMITED, info@moravek.co.uk, +44 (0)1427 890098, +44 (0)1427 890939, http://www.moravek.co.uk
MORROW BROTHERS LIMITED, info@morrow-brothers.co.uk, +44 (0)1772 311 882, NaN, http://www.morrow-brothers.co.uk
MULTI-COLOR WALES, jennifer.hyland@mcclabel.com, +44 (0)1633 627 600, NaN, http://www.mcclabel.com
MUNTONS PLC, marketing@muntons.com, +44 (0)1449 618 300, NaN, http://www.muntons.com
MURPHY & SON LTD, sales@murphyandson.co.uk, +44 (0)115 978 5494, NaN, http://www.murphyandson.co.uk
NEUMO UK LTD, sales@neumo.co.uk, +44 (0)1952 583999, +44 (0)1952 583958, www.neumo.co.uk
NEW ZEALAND HOPS LTD, doug@nzhops.co.nz, +64 03 544 8989, NaN, http://www.nzhops.co.nz
NIJHUIS INDUSTRIES UK & IRELAND, chris.woods@nijhuisindustries.com, +44 (0)333 7000 007, NaN, https://www.nijhuisindustries.com/uk/
NINGBO LEHUI INTERNATIONAL ENGINEERING EQUIPMENT CO LTD, sandra@lehui.com, + 86 574 6583 2678, + 86 574 6583 6111, http://www.lehui.com
NIRAS, uk@niras.co.uk, +44 (0)1344 567 300, NaN, http://www.niras.com
NORDER DESIGN ASSOCIATES LIMITED, richardpeck@norder.co.uk, +44 (0)1773 824 414, NaN, http://www.norder.co.uk
NVP ENERGY UK LTD, info@nvpenergy.com, +44 (0)289 5922 009, NaN, https://www.nvpenergy.com/
OADBY PLASTICS LIMITED, sales@oadbyplastics.co.uk, +44 (0)116 232 1010, NaN, https://www.oadbyplastics.co.uk
OASTHOUSE ENGINEERING LTD, karl@oasthouseengineering.co.uk, +44 (0)01709 780675, NaN, https://www.oasthouse-engineering.com
OEM AUTOMATIC LIMITED, sales@oem.co.uk, +44 (0)116 284 9900, NaN, https://www.oem.co.uk/
OLIVER HITCHCOCK, sales@oem.co.uk, +44 (0)116 284 9900, NaN, https://www.oem.co.uk/
OMEGA INGREDIENTS LIMITED, http://www.omegaingredients.co.uk, +44 (0)1473 836 400, Email: gerry@omegaingredients.co.uk, NaN
OMEX ENVIRONMENTAL, environmental@omex.com, +44 (0)1553 770 092, NaN, https://www.omex.com/
OPENFIELD, richard.howe@openfield.co.uk, +44 (0)1476 862 730, NaN, http://www.openfield.co.uk
OPM (LABELS & PACKAGING) GROUP LTD, sales@opmlabels.com/customerservices@opmlabels.com, +44 (0)113 231 1000, +44 (0)113 263 0609, http://www.opmlabels.com
PACKO INOX NV, michael.hinchiffe@packo.com, +32 51 51 92 90, NaN, https://www.packopumps.com/en/home
PAR GROUP LTD, sales@par-group.co.uk, +44 (0)1257 248 369, NaN, http://www.par-group.co.uk
PARKER & SON (PRINTERS) LIMITED, office@parkerandson.co.uk, +44 (0)1283 568 820, NaN, http://www.parkerandson.co.uk
PARKER BIOSCIENCE FILTRATION, bioscience.emea@parker.com, +44 (0)191 410 5121, NaN, http://www.parker.com/dhbeverage
PAULS MALT, koshir.kassie@boortmalt.com, +44 (0)1284 772 000, NaN, https://paulsmalt.co.uk/
PD BREW LIMITED t/a BREWOLOGY, info@brewology.co.uk, +44 (0)113 457 0487, +44 (0)7903 789468, http://www.brewology.co.uk/
